address|categories|city|country|latitude|longitude|name|postalCode|province|reviews.date|reviews.dateAdded|reviews.doRecommend|reviews.id|reviews.rating|reviews.text|reviews.title|reviews.userCity|reviews.username|reviews.userProvince|sentiment_polarity|sentiment_subjectivity|fix|clear|enhance|change|improve|remove|recommend|like|love|enjoy
Riviera San Nicol 11/a|Hotels|Mableton|US|45.421611|12.376187|Hotel Russo Palace|30126|GA|2013-09-22T00:00:00Z|2016-10-24T00:00:25Z|||0.8|Pleasant 10 min walk along the sea front to the Water Bus. restaurants etc. Hotel was comfortable breakfast was good - quite a variety. Room aircon didn't work very well. Take mosquito repelant!|Good location away from the crouds||Russ (kent)||0.8666666666666667|0.6533333333333334|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
Riviera San Nicol 11/a|Hotels|Mableton|US|45.421611|12.376187|Hotel Russo Palace|30126|GA|2015-04-03T00:00:00Z|2016-10-24T00:00:25Z|||1.0|Really lovely hotel. Stayed on the very top floor and were surprised by a Jacuzzi bath we didn't know we were getting! Staff were friendly and helpful and the included breakfast was great! Great location and great value for money. Didn't want to leave!|Great hotel with Jacuzzi bath!||A Traveler||0.9525862068965518|0.725|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
Riviera San Nicol 11/a|Hotels|Mableton|US|45.421611|12.376187|Hotel Russo Palace|30126|GA|2014-05-13T00:00:00Z|2016-10-24T00:00:25Z|||1.0|Ett mycket bra hotell. Det som drog ner betyget var att vi fick ett rum under taksarna dr det endast var full sthjd i 80 av rummets yta.|Lugnt l��ge||Maud||0.7241379310344829|0.55|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
Riviera San Nicol 11/a|Hotels|Mableton|US|45.421611|12.376187|Hotel Russo Palace|30126|GA|2013-10-27T00:00:00Z|2016-10-24T00:00:25Z|||1.0|We stayed here for four nights in October. The hotel staff were welcoming, friendly and helpful. Assisted in booking tickets for the opera. The rooms were clean and comfortable- good shower, light and airy rooms with windows you could open wide. Beds were comfortable. Plenty of choice for breakfast.Spa at hotel nearby which we used while we were there.|Good location on the Lido.||Julie||0.7311621966794382|0.6222222222222222|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
Riviera San Nicol 11/a|Hotels|Mableton|US|45.421611|12.376187|Hotel Russo Palace|30126|GA|2015-03-05T00:00:00Z|2016-10-24T00:00:25Z|||1.0|We stayed here for four nights in October. The hotel staff were welcoming, friendly and helpful. Assisted in booking tickets for the opera. The rooms were clean and comfortable- good shower, light and airy rooms with windows you could open wide. Beds were comfortable. Plenty of choice for breakfast.Spa at hotel nearby which we used while we were there.|������ ���������������||sungchul||0.701867816091954|0.625|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
Riviera San Nicol 11/a|Hotels|Mableton|US|45.421611|12.376187|Hotel Russo Palace|30126|GA|2015-04-05T00:00:00Z|2016-10-24T00:00:25Z|||1.0|We loved staying on the island of Lido! You need to take a water is from Venice to get there. From the train station, a boat ride takes 45 minutes but has beautiful views along the way. Hotel is an EASY walk from the boat dock. The room was very clean and the breakfast was plentiful. We would definitely recommend this hotel!|Very nice hotel||A Traveler||0.8752873563218393|0.8405555555555555|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0
Riviera San Nicol 11/a|Hotels|Mableton|US|45.421611|12.376187|Hotel Russo Palace|30126|GA|2014-06-10T00:00:00Z|2016-10-24T00:00:25Z|||0.8|Lovely view out onto the lagoon. Excellent view. Staff were welcoming and helpful.|Lovely view out onto the lagoon. Excellent view.||A Traveler||1.0000000000000002|0.875|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
Riviera San Nicol 11/a|Hotels|Mableton|US|45.421611|12.376187|Hotel Russo Palace|30126|GA|2015-05-14T00:00:00Z|2016-10-24T00:00:25Z|||0.8|ottimo soggiorno e ottima sistemazione nei giorni frenetici di inaugurazione della Biennale. Le signore alla reception sono efficientissime e squisite e non sono da meno le ragazze che servono la prima colazione. Da tornarci|Lovely view out onto the lagoon. Excellent view.||A Traveler||1.0000000000000002|0.875|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
Riviera San Nicol 11/a|Hotels|Mableton|US|45.421611|12.376187|Hotel Russo Palace|30126|GA|2015-09-14T00:00:00Z|2016-10-24T00:00:25Z|||0.6000000000000001|Gnstiger Ausgangspunkt fr Venedig Besuche. Ruhige Lage auf dem Lido. Flugplatz Lido und Bootsanlegestellen fulufig erreichbar. Zimmer ziemlich eng, aber alles vorhanden. Frhstck fr Italien ausgesprochen reichhaltig. Hotel sollte regelmig einen Kammerjger beschftigen, da ein Befall mit Wanzen festzustellen war.|G��nstige Lage||Doppeldecker||0.4827586206896552|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
Riviera San Nicol 11/a|Hotels|Mableton|US|45.421611|12.376187|Hotel Russo Palace|30126|GA|2015-05-16T00:00:00Z|2016-10-24T00:00:25Z|||0.8|Lidoen er perfekt til et par dages ro og afslapning, skn strand, lkkert omrde og lille hyggeligt familiehotel med et sdt personale|Ro og hygge||A Traveler||0.4827586206896552|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
