sentiment_polarity;sentiment_subjectivity;fix;clear;enhance;change;improve;remove;recommend;like;love;enjoy;text;index
0.5566666666666666;0.6533333333333334;0;0;0;0;0;0;0;0;0;0;Good location away from the crouds Pleasant 10 min walk along the sea front to the Water Bus restaurants etc Hotel was comfortable breakfast was good - quite a variety Room aircon didn't work very well Take mosquito repelant!;0
0.68125;0.725;0;0;0;0;0;0;0;0;0;0;Great hotel with Jacuzzi bath! Really lovely hotel Stayed on the very top floor and were surprised by a Jacuzzi bath we didn't know we were getting! Staff were friendly and helpful and the included breakfast was great! Great location and great value for money Didn't want to leave!;1
0.2761111111111111;0.6547222222222222;0;0;0;0;0;0;0;0;0;0;Lugnt l��ge Ett mycket bra hotell Det som drog ner betyget var att vi fick ett rum under taksarna dr det endast var full sthjd i 80 av rummets yta;2
0.36018518518518516;0.6222222222222222;0;0;0;0;0;0;0;0;0;0;Good location on the Lido We stayed here for four nights in October The hotel staff were welcoming, friendly and helpful Assisted in booking tickets for the opera The rooms were clean and comfortable- good shower, light and airy rooms with windows you could open wide Beds were comfortable Plenty of choice for breakfastSpa at hotel nearby which we used while we were there;3
0.3177083333333333;0.625;0;0;0;0;0;0;0;0;0;0;������ ��������������� We stayed here for four nights in October The hotel staff were welcoming, friendly and helpful Assisted in booking tickets for the opera The rooms were clean and comfortable- good shower, light and airy rooms with windows you could open wide Beds were comfortable Plenty of choice for breakfastSpa at hotel nearby which we used while we were there;4
0.5691666666666667;0.8405555555555555;0;0;0;0;0;0;1;0;0;0;Very nice hotel We loved staying on the island of Lido! You need to take a water is from Venice to get there From the train station, a boat ride takes 45 minutes but has beautiful views along the way Hotel is an EASY walk from the boat dock The room was very clean and the breakfast was plentiful We would definitely recommend this hotel!;5
0.75;0.875;0;0;0;0;0;0;0;0;0;0;Lovely view out onto the lagoon Excellent view Lovely view out onto the lagoon Excellent view Staff were welcoming and helpful;6
0.44999999999999996;0.7222222222222222;0;0;0;0;0;0;0;0;0;0;Lovely view out onto the lagoon Excellent view ottimo soggiorno e ottima sistemazione nei giorni frenetici di inaugurazione della Biennale Le signore alla reception sono efficientissime e squisite e non sono da meno le ragazze che servono la prima colazione Da tornarci;7
0.16674107142857142;0.44324633699633703;0;0;0;0;0;0;0;0;0;0;G��nstige Lage Gnstiger Ausgangspunkt fr Venedig Besuche Ruhige Lage auf dem Lido Flugplatz Lido und Bootsanlegestellen fulufig erreichbar Zimmer ziemlich eng, aber alles vorhanden Frhstck fr Italien ausgesprochen reichhaltig Hotel sollte regelmig einen Kammerjger beschftigen, da ein Befall mit Wanzen festzustellen war;8
0.3333333333333333;0.7472222222222221;0;0;0;0;0;0;0;0;0;0;Ro og hygge Lidoen er perfekt til et par dages ro og afslapning, skn strand, lkkert omrde og lille hyggeligt familiehotel med et sdt personale;9
0.5518333333333334;0.6746666666666666;0;0;0;0;0;0;0;0;0;0;Tr��s bon h��tel calme et agr��able Accueil chaleureux, en franais Changement du linge de lit tous les jours, lit confortable, salle de bain de bonne taille et bien quipe Petit djeuner copieux et vari;10
0.26836734693877556;0.5163265306122449;0;0;0;0;0;0;0;0;0;0;It was ok hotel is nice from in and out but room It was ok hotel is nice from in and out but room was small we paid for double bed bat they atteched 2 single bed;11
0.5802083333333332;0.6687500000000001;0;0;0;0;0;0;0;0;0;0;Sehr angenehmes Hotel ! Klasse Frhstck, freundliches und aufmerksames Personal, gute Anbindung nach Venedig, Zimmer vllig ok und sauber, Parkplatz in der Nhe gut verfgbar Wrden wir wieder whlen!;12
0.77;0.7575000000000001;0;0;0;0;0;0;0;0;0;0;Tip top Bardzo sympatyczna obsuga, klimat hotelu wietna azienka, widok na zatok Bardzo dobry stosunek cena/jakosc Polecam!;13
0.4025;0.5566666666666666;0;0;0;0;0;0;0;0;0;0;Lugnet p�� Lido Bra o lugnt lge Stor terrass Nra till den hrliga LidostrandenBara en TV-kanal Bra frukost Litet opraktiskt badrumTrevlig och kunnig personal;14
0.4590277777777778;0.65;0;0;0;0;0;0;0;0;0;0;Lugnet p�� Lido The hotel staff was very friendly and helpful The room was clean and comfortable My wife and I had a room with a terrace over looking the waterit was a great view! I will look to stay at this hotel my next time in Venicevery pleased;15
0.595;0.8099999999999999;0;0;0;0;0;0;0;0;0;0;Nice hotel with very friendly and helpful staff Nice hotel , with very friendly staff and helpful - great choice for breakfast , something for everyone;16
0.27;0.5638095238095239;0;0;0;0;0;0;0;0;0;0;Guter Ausgangspunkt f��r Ausfl��ge Wir hatten leider Pech mit unserem Zimmer,war in einem winzigen Hof, sehr hellhrig Personal war sehr nett, Frhstck sehr gut;17
0.0;0.0;0;0;0;0;0;0;0;0;0;0;���������������  ;18
0.15214285714285714;0.5421428571428571;0;0;0;0;0;0;1;0;0;0;Hotellihuone oli pettymys Hotellihuone oli ullakolla, jossa ei pystynyt kvelemn suorassa Huonekorkeus oli suurimmassa osassa n 1,5m Huoneestamme varastettiin rannekoru ja neuletakki Lisksi Spa ei ollut hotellissa vaan n kilometrin pss toisessa hotellissa Laivalaiturilta oli kilometrin matka hotelliin Lidon saari on kyll hyv majoituspaikka kun vierailee Venetsiassa, mutta en suosittele tt hotellia;19
0.10443067033976126;0.3296258034894398;0;0;0;0;0;0;0;0;0;0;Dungeons, Drain Flies and Centipedes DON'T stay here unless you're less than 2 feet tall or like sleeping with centipedes Our 4th floor room was an attic with a vaulted ceiling that angles down to 3ft The bed is only accessible from one side If you placed your head in the skylight on the other side you might able sit up The bathtub was impractical with broken shower head We moved to the 1st floor the next day and within minutes found a centipede on the wall and15 flies We asked for a broom to get rid of the centipede Later in the day the receptionist said she gave us something to control the bugs We never complained about the drain flies so she must have noticed a problem That night we spent 2 hrs catching 6 centipedes in our room 2 came from throw pillows We asked reception for a new room or hotel but there supposedly weren't any hotels with open rooms and if we wanted leave we would have to pay for transportation and both hotels The next morning we went to reception to tell them about the bug problem We barely said anything before the woman apologized and said they didn't put the bugs in the room on purpose so we should just go about our day and forget it She added that she often goes on vacation with her children and sometimes things happen, so she tries to make the best of everything and not start a war Adding, a few euros isn't going to make anything go away so we should just go enjoy the day because more we talk the less time we have;20
0.48154761904761906;0.7148809523809524;0;0;0;0;0;0;0;0;0;0;Excellent hotel with good access to Venice We had absolutely no problems whatsoever with this hotel and were very pleasantly surprised by the quality considering the low price The dcor of the room was pleasant and flawless, unlike many of the Venice hotels I've stayed in The breakfast buffet was delicious too And to finish all this off, the staff couldn't have been friendlier or more helpful In terms of location, the hotel is about 10 minutes walk from the Lido waterbus stop, then a boat takes around 15 mins to get into Venice We didn't find this a problem at all - we knew this was going to be the case so had pre-booked transport tickets to save money The surrounding Lido is pleasant and worth an explore in a spare couple of hours In conclusion, I would book this again due to the fantastic quality of the hotel, despite the trade-off of not being in Venice itself;21
