sentiment_polarity|sentiment_subjectivity|fix|clear|enhance|change|improve|remove|recommend|like|love|enjoy
0.5566666666666666|0.6533333333333334|0|0|0|0|0|0|0|0|0|0
0.68125|0.725|0|0|0|0|0|0|0|0|0|0
0.2761111111111111|0.6547222222222222|0|0|0|0|0|0|0|0|0|0
0.36018518518518516|0.6222222222222222|0|0|0|0|0|0|0|0|0|0
0.3177083333333333|0.625|0|0|0|0|0|0|0|0|0|0
0.5691666666666667|0.8405555555555555|0|0|0|0|0|0|1|0|0|0
0.75|0.875|0|0|0|0|0|0|0|0|0|0
0.44999999999999996|0.7222222222222222|0|0|0|0|0|0|0|0|0|0
0.16674107142857142|0.44324633699633703|0|0|0|0|0|0|0|0|0|0
0.3333333333333333|0.7472222222222221|0|0|0|0|0|0|0|0|0|0
0.5518333333333334|0.6746666666666666|0|0|0|0|0|0|0|0|0|0
0.26836734693877556|0.5163265306122449|0|0|0|0|0|0|0|0|0|0
0.5802083333333332|0.6687500000000001|0|0|0|0|0|0|0|0|0|0
0.77|0.7575000000000001|0|0|0|0|0|0|0|0|0|0
0.4025|0.5566666666666666|0|0|0|0|0|0|0|0|0|0
0.4590277777777778|0.65|0|0|0|0|0|0|0|0|0|0
0.595|0.8099999999999999|0|0|0|0|0|0|0|0|0|0
0.27|0.5638095238095239|0|0|0|0|0|0|0|0|0|0
0.0|0.0|0|0|0|0|0|0|0|0|0|0
0.15214285714285714|0.5421428571428571|0|0|0|0|0|0|1|0|0|0
0.10443067033976126|0.3296258034894398|0|0|0|0|0|0|0|0|0|0
0.48154761904761906|0.7148809523809524|0|0|0|0|0|0|0|0|0|0
0.14158902691511385|0.6435817805383024|0|0|0|0|0|0|0|0|0|1
0.16666666666666669|0.4133333333333334|0|0|0|0|0|0|0|0|0|0
0.42389682539682544|0.6468571428571429|0|0|0|0|0|0|0|0|0|0
0.13058072009291524|0.39499419279907083|0|0|0|0|0|0|1|0|0|0
0.36|0.6566666666666667|0|0|0|0|0|0|0|0|0|0
0.3682142857142857|0.7757142857142857|0|0|0|0|0|0|0|0|0|0
0.89|1.0|0|0|0|0|0|0|0|0|0|0
0.5|0.45|0|0|0|0|0|0|0|0|0|0
0.45607142857142857|0.5247619047619049|0|0|0|0|0|0|0|0|0|0
0.3979166666666667|0.4916666666666667|0|0|0|0|0|0|0|0|0|0
0.38666666666666666|0.5433333333333333|0|0|0|0|0|0|0|0|0|0
0.6|0.8|0|0|0|0|0|0|0|0|0|0
0.7|0.6000000000000001|0|0|0|0|0|0|1|0|0|0
0.07962184873949579|0.36967787114845935|0|0|0|0|0|0|0|0|0|0
0.3473214285714286|0.4974603174603175|0|0|0|0|0|0|0|0|0|0
0.25|1.0|0|0|0|0|0|0|0|0|0|0
0.15833333333333333|0.3925925925925926|0|0|0|0|0|0|0|0|0|0
0.5857142857142857|0.604761904761905|0|0|0|0|0|0|0|0|0|0
0.0|0.0|0|0|0|0|0|0|0|0|0|0
0.4075148809523809|0.6|0|0|0|0|0|0|0|0|0|0
0.41818181818181815|0.5272727272727273|0|0|0|0|0|0|0|0|0|0
-0.04999999999999999|0.7083333333333334|0|0|0|0|0|0|0|0|0|0
-0.21666666666666667|0.6333333333333334|0|0|0|0|0|0|0|0|0|0
0.14270833333333335|0.48194444444444445|0|0|0|0|0|0|0|0|0|0
0.3708333333333333|0.49166666666666664|0|0|0|0|0|0|0|0|0|0
0.37537037037037035|0.538888888888889|0|0|0|0|0|0|0|0|0|0
0.19999999999999998|0.7000000000000001|0|0|0|0|0|0|0|0|0|0
0.36111111111111116|0.8333333333333334|0|0|0|0|0|0|0|0|0|0
0.0|0.0|0|0|0|0|0|0|0|0|0|0
0.36666666666666664|0.5916666666666667|0|0|0|0|0|0|0|0|0|0
0.45904761904761904|0.9500000000000001|0|0|0|0|0|0|0|0|0|0
0.3625|0.7055555555555555|0|0|0|0|0|0|0|0|0|0
0.39015350877192984|0.6287719298245615|0|0|0|0|0|0|0|0|0|0
0.518452380952381|0.6448412698412699|0|0|0|0|0|0|0|0|0|0
0.5666666666666668|0.7888888888888889|0|0|0|0|0|0|0|0|0|0
0.0|0.0|0|0|0|0|0|0|0|0|0|0
0.51875|0.55|0|0|0|0|0|0|0|0|0|0
0.3149801587301588|0.6000000000000001|0|0|0|0|0|0|0|0|0|0
0.24120370370370373|0.49444444444444446|0|0|0|0|0|0|0|0|0|0
0.6313368055555556|0.75|0|0|0|0|0|0|0|0|0|0
0.4318497474747474|0.6434343434343434|0|0|0|0|0|0|0|0|0|0
0.31270833333333337|0.6325000000000001|0|0|0|0|0|0|1|0|0|0
0.26854497354497353|0.533994708994709|0|0|0|0|0|0|0|0|0|1
0.5179315476190476|0.6973214285714286|0|0|0|0|0|0|0|1|0|0
0.35555555555555557|0.6592592592592593|1|0|0|0|0|0|0|1|0|0
0.3|0.7571428571428571|0|0|0|0|0|0|0|0|0|0
0.07777777777777778|0.4166666666666667|0|0|0|0|0|0|0|0|0|0
0.31611781076066797|0.6011750154607297|0|0|0|0|0|0|0|0|0|0
